Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity,Prediction
17.49688867,0.3003884469976959,0.31112393766738305,-1.242930715012846,3.125328691,Jumping,1
17.50693667,0.2038742150674618,0.25291402889735204,-1.065315284233234,3.393494837,Jumping,1
17.51698467,-0.27330569293821594,0.6676527452241536,-0.8411283045418875,6.930936848,Jumping,1
17.52703267,-0.7149123446390561,0.6697604899975778,-0.6922075250682886,10.35378323,Jumping,1
17.53708067,-0.818171110416324,0.3125120518442364,-0.5460782599182417,10.7421247,Jumping,1
17.54712867,-1.0000586375116127,0.36778658337635567,-0.39844840102521245,11.9418814,Jumping,1
17.55717667,-1.05367089954613,0.3301821678294326,-0.2393708720443195,12.00358512,Jumping,1
17.56722367,-1.0257083003866905,0.23852968897182594,-0.08132697978341089,11.46819661,Jumping,1
17.57727167,-0.9961547037621652,0.19321677872344906,0.07278345580837906,11.02347378,Jumping,1
17.58731967,-0.9247583493480026,0.19117972712428752,0.2211056755244255,10.39482805,Jumping,1
17.59736767,-0.806845645523384,0.28626914195707187,0.3762260021747671,9.550852537,Jumping,1
17.60741567,-0.6386835530313051,0.407264478450142,0.529807978421721,8.517459168,Jumping,1
17.61746367,-0.46716698859702704,0.4335412012776617,0.6515013996851118,7.466097592,Jumping,1
17.62751167,-0.47213774225888705,0.4951921832458022,0.7292208739094985,7.683814928,Jumping,1
17.63755967,-0.5475893458102054,0.5503311065360396,0.7752250254403104,8.331832804,Jumping,1
17.64760767,-0.6299911743433425,0.5333397459411628,0.7954855752664005,8.864267028,Jumping,1
17.65765567,-0.7684034118905536,0.41499087842585886,0.7937969606071358,9.641833489,Jumping,1
17.66770367,-0.8267207337458485,0.3166733263492515,0.790434819018069,9.928319638,Jumping,1
17.67775167,-0.813216685146534,0.28677569386077306,0.828538367749805,9.671905058,Jumping,1
17.68779967,-0.7725582171531378,0.22572292978240915,0.9084338546575031,9.221032252,Jumping,1
17.69784667,-0.7300818980408604,0.16557070293684226,1.0004337092309792,8.823703764,Jumping,1
17.70789467,-0.7026255603711853,0.17446054655960955,1.11401347516831,8.604781622,Jumping,1
17.71794267,-0.6677746410233677,0.19069386231123553,1.2500462969401556,8.357566801,Jumping,1
17.72799067,-0.62699141073214,0.19818885059206573,1.3961773265482802,8.08134892,Jumping,1
17.73803867,-0.6448137872347129,0.20635945596636765,1.5408611750737369,8.259247752,Jumping,1
17.74808667,-0.6829417372768086,0.15567171412337744,1.6682061404263449,8.558377146,Jumping,1
17.75813467,-0.6565205933929701,0.04951943934632122,1.7656860562559373,8.397274229,Jumping,1
17.76818267,-0.4903564409591355,-0.13419391297495373,1.8367687232153551,7.124069082,Jumping,1
17.77823067,-0.21288516785157677,-0.3424648783249305,1.8912456749489541,4.990731598,Jumping,1
17.78827867,0.17696234492830587,-0.5462492797972845,1.9290898313166638,2.128189944,Jumping,1
17.79832667,0.5820796808197192,-0.7319433286219311,1.945142758392442,1.81488094,Jumping,1
17.80837467,0.99038764907495,-0.7905327770884528,1.9436497758430915,4.652133015,Jumping,1
17.81842267,1.3266831402163375,-0.7182831137283616,1.90445348063915,7.10844163,Jumping,1
17.82846967,1.5161666595134575,-0.7436696787360529,1.8024485165456225,8.552460598,Jumping,1
17.83851767,1.5551467818471028,-0.8217179052525765,1.6226751514858238,8.883511239,Jumping,1
17.84856567,1.6290362413294341,-1.0906832815137177,1.3820919951141868,9.686835418,Jumping,1
17.85861367,1.756787567286389,-1.447156090650358,1.087852889864553,11.11061718,Jumping,1
17.86866167,2.028899294719474,-1.883600433551769,0.7442312820775498,13.84118176,Jumping,1
17.87870967,2.506897925481616,-2.1873058626409945,0.43490677861104593,17.82500803,Jumping,1
17.93899767,2.5773389846417865,-1.4583193553539597,-0.054458459869181984,16.57010121,Jumping,1
17.94904467,2.082569578857184,-1.3342649463188418,-0.18421966024173095,12.9025871,Jumping,1
17.95909267,1.6207019794761894,-1.2513775812301362,-0.2922263114108172,9.566525872,Jumping,1
17.96914067,1.196661521550349,-1.1178063265322014,-0.36697634373613025,6.476201213,Jumping,1
17.97918867,0.8714970594411526,-0.8383898617940247,-0.4020826227219473,3.83297229,Jumping,1
17.98923667,0.6631660363556957,-0.496304103176404,-0.3864360027095253,2.056569226,Jumping,1
17.99928467,0.5301388678506302,-0.14453200641763658,-0.3065227514826035,1.804945381,Jumping,1
18.00933267,0.47349513585432523,0.175125677125176,-0.18384823888821952,2.708927376,Jumping,1
18.01938067,0.3994242399905413,0.46681613331730015,-0.056311843303524116,3.710926593,Jumping,1
18.02942867,0.2519179114165485,0.690824526648944,0.1656105562028757,4.688110725,Jumping,1
18.03947667,0.004248094453962406,0.7840256239741547,0.36609879274186363,5.850134168,Jumping,1
18.04952467,-0.27654293290320503,0.8166950618722444,0.5170489841963956,7.418628449,Jumping,1
18.05957267,-0.5316302390368269,0.7548400608413036,0.6037349219588231,8.825262147,Jumping,1
18.06962067,-0.7283977660312313,0.6794203626486346,0.6435697466782092,9.900958405,Jumping,1
18.07966767,-0.8441738170894205,0.6138406590470378,0.6398309800360867,10.5601889,Jumping,1
18.08971567,-0.9221250253719651,0.5013475655322613,0.5914018009773957,10.98642645,Jumping,1
18.09976367,-0.9787336438695569,0.3937771087568207,0.5046497403424722,11.24151147,Jumping,1
18.10981167,-1.003685779448986,0.313501971977772,0.40510445018367547,11.27830736,Jumping,1
18.11985967,-1.0099586097286226,0.2092567400584119,0.31737590383371683,11.20115009,Jumping,1
18.12990767,-1.0091407586186312,0.10978369841179783,0.2518157501172706,11.08341437,Jumping,1
18.13995567,-1.0006566086818331,0.022562427115709622,0.20648429603574817,10.93516664,Jumping,1
18.15000396,-0.9970285151179837,-0.02906587073483019,0.17900705574545145,10.83460497,Jumping,1
18.16005196,-1.001691643456579,-0.07022756479034811,0.169404006555684,10.82486077,Jumping,1
18.17009996,-0.9891569198238176,-0.12117967508107896,0.16730480825104932,10.70086519,Jumping,1
18.18014796,-0.9520987236046509,-0.1290513853743697,0.14258300030499516,10.4055057,Jumping,1
18.19019596,-0.909927255187331,-0.12492941643918705,0.09741363840367391,10.0743359,Jumping,1
18.20024396,-0.8492047325228924,-0.13233930178079348,0.04803360331400615,9.607281285,Jumping,1
