Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity_Jumping,Activity_Walking,Prediction,Activity
27.49917737,-1.5556981835457069,1.1309235108842337,-0.5385331671914693,16.706,0,1,1,Jumping
27.50924038,-1.5595132964745542,1.1659528193965192,-0.5411528071944497,16.928,0,1,1,Jumping
27.51930337,-1.5410735839851255,1.1910465422216836,-0.5437220273480003,16.975,0,1,1,Jumping
27.52936637,-1.5195817811526189,1.1934667489916235,-0.5467625634853507,16.867,0,1,1,Jumping
27.53942937,-1.4863902986716475,1.1687551640775022,-0.5503007216148991,16.539,0,1,1,Jumping
27.54949137,-1.419244311123935,1.135636545120432,-0.5540975554936958,15.982,0,1,1,Jumping
27.55955438,-1.3454854611662204,1.0943656507277755,-0.5580873001007454,15.344,0,1,1,Jumping
27.56961737,-1.2502348083759995,1.055897101016102,-0.561969628506836,14.613,0,1,1,Jumping
27.57968037,-1.1459550549875066,1.0225237234516698,-0.5657664623856326,13.879,0,1,1,Jumping
27.58974237,-1.0720690345988304,0.9826540013995051,-0.5700784555955593,13.269,0,1,1,Jumping
27.59980537,-0.9975471620553465,0.939345038147952,-0.5747565407556934,12.642,0,1,1,Jumping
27.60986838,-0.9089093716751275,0.8982015230589766,-0.5797963335313016,11.977,0,1,1,Jumping
27.61993138,-0.8209074334497165,0.8585865596141736,-0.584665137252322,11.332,0,1,1,Jumping
27.62999437,-0.7303620866050738,0.8138764240221291,-0.588720646880367,10.642,0,1,1,Jumping
27.64005637,-0.659400986128514,0.7526069789515497,-0.5918006420303146,9.936,0,1,1,Jumping
27.65011937,-0.5979776679740725,0.6819114654085734,-0.594034460576789,9.211,0,1,1,Jumping
27.66018237,-0.5397336105936703,0.6262467096999595,-0.5956128210806768,8.605,0,1,1,Jumping
27.67024538,-0.49649566406673423,0.5914721597950362,-0.5957092764448033,8.203,0,1,1,Jumping
27.68030837,-0.46966270313384156,0.5708367125987079,-0.5952686508041346,7.967,0,1,1,Jumping
27.69037037,-0.4619053068451854,0.5744033331017769,-0.5929800280734974,7.985,0,1,1,Jumping
27.70043337,-0.45096864978248974,0.5837020222704928,-0.5903735410747161,8.029,0,1,1,Jumping
27.71049637,-0.446390514267873,0.5899436081508638,-0.5881397225282415,8.073,0,1,1,Jumping
27.72056287,-0.4575815121924917,0.6081588485772522,-0.5863355687856032,8.253,0,1,1,Jumping
27.73062587,-0.4619053068451854,0.6247181580557872,-0.584673905921788,8.402,0,1,1,Jumping
27.74068787,-0.47068006658153416,0.650576156703038,-0.5838211528162154,8.612,0,1,1,Jumping
27.75075087,-0.4556739557280681,0.6755425002245216,-0.5838891100045772,8.748,0,1,1,Jumping
27.76081388,-0.4255345635901744,0.7008909816570482,-0.5845182620387658,8.84,0,1,1,Jumping
27.77087687,-0.4027710564480521,0.7357929108656527,-0.5853403248012072,9.035,0,1,1,Jumping
27.78093987,-0.3857302186992009,0.770057943555852,-0.5863750277982004,9.247,0,1,1,Jumping
27.79100187,-0.3834411509418925,0.7946421491662923,-0.5875566060087497,9.417,0,1,1,Jumping
27.80106487,-0.40556880592920685,0.8229203545834828,-0.5886176150141409,9.668,0,1,1,Jumping
27.81112788,-0.43176591470729164,0.8579496630957684,-0.5895076349649443,9.988,0,1,1,Jumping
27.82119088,-0.46139662512133905,0.8904313855344332,-0.5904349217609783,10.293,0,1,1,Jumping
27.83125287,-0.5076866619913529,0.9136144188043823,-0.5920154744322326,10.575,0,1,1,Jumping
27.84131587,-0.5867866700494537,0.8980741437552956,-0.5946877264520092,10.688,0,1,1,Jumping
27.85137887,-0.6213770272710025,0.9434211758657453,-0.5975178145221747,11.12,0,1,1,Jumping
27.86144187,-0.6229030724425415,0.9970478627154623,-0.599918237788504,11.503,0,1,1,Jumping
27.87150488,-0.6114577336559996,0.9953919317676089,-0.602489650109421,11.454,0,1,1,Jumping
27.88156687,-0.6066252572794597,1.0045632416326435,-0.6054578447236766,11.505,0,1,1,Jumping
27.89162987,-0.6114577336559996,1.0429044120406359,-0.6080029510361956,11.796,0,1,1,Jumping
27.90169287,-0.638672205881777,1.0732206863167235,-0.6098772541345624,12.1,0,1,1,Jumping
27.91175587,-0.7046736595508354,1.101626271037595,-0.611514803157346,12.521,0,1,1,Jumping
27.92181888,-0.7692762384793164,1.109014270651095,-0.6128980607656143,12.802,0,1,1,Jumping
27.93188088,-0.8284104888764495,1.0775515826418787,-0.6144457309263709,12.805,0,1,1,Jumping
27.94194387,-0.8571510062737658,1.0334783435682393,-0.6158837927188019,12.622,0,1,1,Jumping
27.95200687,-0.8506653142947254,0.9965383455007383,-0.6169645312304917,12.35,0,1,1,Jumping
27.96206987,-0.8734288214368476,0.9718267605866167,-0.6178457825118291,12.284,0,1,1,Jumping
27.97213288,-0.9316728788172498,0.9424021414362969,-0.6185560447385785,12.355,0,1,1,Jumping
27.98219488,-0.9773270635324559,0.8927242130006918,-0.6189637878687496,12.259,0,1,1,Jumping
27.99225787,-1.022981248247662,0.8513259393043544,-0.6191172395844052,12.232,0,1,1,Jumping
28.00232087,-1.0699071372724835,0.8337475953963711,-0.6187862223120622,12.371,0,1,1,Jumping
