"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.779083125E0,-1.730251923E1,-6.821315002E-1,3.106490021E0,1.759240618E1
1.789145125E0,-1.812505875E1,-1.061442719E0,3.115171967E0,1.842141991E1
1.799208125E0,-1.861064896E1,-1.401086426E0,3.149450684E0,1.892718514E1
1.809270125E0,-1.824001968E1,-1.582658844E0,3.258573761E0,1.859627463E1
1.819333125E0,-1.708936249E1,-1.389859772E0,3.286715240E0,1.745796430E1
1.829395125E0,-1.580638046E1,-1.052461395E0,3.065325623E0,1.613522728E1
1.839458125E0,-1.426189224E1,-9.563612366E-1,2.892884216E0,1.458372299E1
1.849520125E0,-1.273357040E1,-9.056167603E-1,2.740351410E0,1.305654942E1
1.859583125E0,-1.139535324E1,-8.913963318E-1,2.646197205E0,1.173247726E1
1.869645125E0,-1.041683807E1,-8.791218567E-1,2.523452454E0,1.075412400E1
1.879708125E0,-1.009216324E1,-8.436456299E-1,2.440973969E0,1.041738214E1
1.889770125E0,-1.063822769E1,-7.212002563E-1,2.431244202E0,1.093631412E1
1.899833125E0,-1.114477432E1,-5.788462830E-1,2.614612885E0,1.146199190E1
1.909895125E0,-1.142065063E1,-4.966671753E-1,2.864742737E0,1.178493488E1
1.919958125E0,-1.178214890E1,-4.513114929E-1,3.034789124E0,1.217508356E1
1.930020125E0,-1.198138458E1,-5.227130127E-1,2.981050873E0,1.235772915E1
1.940083125E0,-1.200009567E1,-6.833290100E-1,2.918031921E0,1.236867596E1
1.950145125E0,-1.186313049E1,-8.729846191E-1,2.813249817E0,1.222335231E1
1.960208125E0,-1.149369873E1,-1.084644470E0,2.692451019E0,1.185457113E1
1.970270125E0,-1.102562210E1,-1.207838287E0,2.568359070E0,1.138506409E1
1.980333125E0,-1.049063461E1,-1.210832062E0,2.483784943E0,1.084844305E1
1.990395125E0,-9.868528290E0,-1.078058167E0,2.398462372E0,1.021286844E1
2.000458125E0,-9.156009979E0,-8.331674194E-1,2.323767700E0,9.482962776E0
2.010520125E0,-8.428522797E0,-5.316943359E-1,2.214494934E0,8.730789381E0
2.020583125E0,-7.681875458E0,-2.344125366E-1,2.112107849E0,7.970392672E0
2.030645125E0,-6.986271973E0,-5.957611084E-2,1.981130219E0,7.261984738E0
2.040708125E0,-6.461613007E0,-2.439926147E-2,1.772314453E0,6.700308686E0
2.050770125E0,-6.044430542E0,1.308279419E-1,1.627565460E0,6.261088232E0
2.060833125E0,-5.709876251E0,2.543211365E-1,1.516197052E0,5.913224124E0
2.070895125E0,-5.448220367E0,2.751278687E-1,1.390608215E0,5.629617369E0
2.080958125E0,-5.266498260E0,1.567240906E-1,1.200054474E0,5.403766937E0
2.091020125E0,-5.099745026E0,-2.020797729E-2,9.713301086E-1,5.191463172E0
2.101083125E0,-4.956193542E0,-1.124162292E-1,7.595205688E-1,5.015312885E0
2.111145125E0,-4.736749878E0,-8.756790161E-2,5.924679565E-1,4.774461836E0
2.121208125E0,-4.400698700E0,-1.841171265E-2,4.498146057E-1,4.423666038E0
2.131270125E0,-4.050127716E0,6.122268677E-2,3.305126953E-1,4.064052334E0
2.141333125E0,-3.817212067E0,1.366658020E-1,1.866618347E-1,3.824216017E0
2.151395125E0,-3.661835175E0,2.737806702E-1,7.634124756E-2,3.672849124E0
2.161458125E0,-3.489094391E0,5.057981873E-1,-3.323089600E-2,3.525722021E0
2.171520125E0,-3.519481201E0,6.716532898E-1,-1.423539734E-1,3.585823576E0
2.181583125E0,-3.747307434E0,8.228388977E-1,-1.663041687E-1,3.840186706E0
2.191645125E0,-4.170477448E0,1.108744354E0,-1.145118713E-1,4.316863346E0
2.201708125E0,-4.826862488E0,1.448687439E0,-7.843688965E-2,5.040183441E0
2.211770125E0,-5.666167145E0,1.601070557E0,-7.903564453E-2,5.888558709E0
2.221833125E0,-6.608158264E0,1.498533783E0,-1.540296936E-1,6.777690188E0
