"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.675736250E-1,-1.017733612E0,6.875502319E0,7.980205078E0,1.058262666E1
9.775326250E-1,-1.019529877E0,6.943161621E0,7.803422699E0,1.049477681E1
9.874926250E-1,-1.047371979E0,6.965016174E0,7.625592499E0,1.038065987E1
9.974516250E-1,-1.071022797E0,6.903793488E0,7.553143158E0,1.028880099E1
1.007410625E0,-1.026415558E0,6.813381500E0,7.582033081E0,1.024514139E1
1.017369625E0,-9.104067993E-1,6.706354065E0,7.685767365E0,1.024085179E1
1.027329625E0,-7.809260559E-1,6.624324646E0,7.695197754E0,1.018369240E1
1.037288625E0,-6.310876465E-1,6.548282776E0,7.610923004E0,1.006004115E1
1.047247625E0,-4.924758911E-1,6.496939545E0,7.475305023E0,9.916296745E0
1.057206625E0,-3.013233948E-1,6.477030945E0,7.227869568E0,9.710037288E0
1.067165625E0,-1.642085266E-1,6.457870789E0,6.881340179E0,9.438426894E0
1.077125625E0,-1.740879822E-1,6.474486237E0,6.544690247E0,9.207727683E0
1.087084625E0,-2.342628479E-1,6.495742035E0,6.288572845E0,9.044097086E0
1.097043625E0,-2.522254944E-1,6.549180908E0,6.112389221E0,8.961957948E0
1.107002625E0,-2.480342102E-1,6.619384918E0,6.050268402E0,8.971261082E0
1.116962625E0,-3.207829285E-1,6.713838501E0,6.047124939E0,9.041363234E0
1.126921625E0,-4.171824646E-1,6.821614380E0,6.104156342E0,9.163470336E0
1.136880625E0,-4.769082642E-1,6.918612671E0,6.147865448E0,9.267733938E0
1.146839625E0,-6.093827820E-1,6.982080688E0,6.144721985E0,9.320858672E0
1.156798625E0,-8.149053955E-1,7.015311584E0,6.187383270E0,9.389482369E0
1.166758625E0,-9.599537659E-1,7.011120300E0,6.364165649E0,9.517348555E0
1.176717625E0,-1.011147308E0,6.969357147E0,6.675368500E0,9.703344915E0
1.186676625E0,-1.005309448E0,6.911277924E0,6.992708588E0,9.883035112E0
1.196635625E0,-1.012045441E0,6.831493835E0,7.315138092E0,1.006005911E1
1.206595625E0,-9.710307312E-1,6.756649475E0,7.625442810E0,1.023438278E1
1.216554625E0,-8.969348145E-1,6.670279083E0,7.869884491E0,1.035529802E1
1.226513625E0,-8.306227112E-1,6.575077057E0,8.047864380E0,1.042543493E1
1.236472625E0,-8.000862122E-1,6.513255615E0,8.194709015E0,1.049837571E1
1.246431625E0,-7.494914246E-1,6.462211761E0,8.348139954E0,1.058363638E1
1.256391625E0,-6.334826660E-1,6.402485962E0,8.536298676E0,1.068931812E1
1.266350625E0,-4.095483398E-1,6.346203003E0,8.682843933E0,1.076261126E1
1.276309625E0,-2.194436646E-1,6.281836853E0,8.660690002E0,1.070127007E1
1.286268625E0,-1.592687988E-1,6.228847046E0,8.472680969E0,1.051713958E1
1.296228625E0,-1.875599670E-1,6.208489380E0,8.180039520E0,1.027100607E1
1.306187625E0,-2.493814087E-1,6.237079926E0,7.914641418E0,1.007992589E1
1.316146625E0,-3.745211792E-1,6.327042847E0,7.680528259E0,9.958024485E0
1.326105625E0,-5.194198608E-1,6.477330322E0,7.528294830E0,9.944889549E0
1.336064625E0,-5.987548828E-1,6.616091766E0,7.427105255E0,9.964590817E0
1.346024625E0,-6.262976074E-1,6.757397919E0,7.321425018E0,9.982882330E0
1.355983625E0,-6.164181519E-1,6.881190491E0,7.207212524E0,9.983720062E0
1.365942625E0,-5.962101746E-1,6.944059753E0,7.047794037E0,9.911954056E0
1.375901625E0,-5.583389282E-1,6.914122009E0,6.910828857E0,9.791648534E0
1.385860625E0,-4.978646851E-1,6.831493835E0,6.824009399E0,9.668726987E0
1.395820625E0,-4.096980286E-1,6.721921692E0,6.790479126E0,9.563612835E0
1.405779625E0,-3.344046021E-1,6.623725891E0,6.781797180E0,9.485691546E0
1.415738625E0,-3.369493103E-1,6.557563477E0,6.731352081E0,9.403524575E0
1.425697625E0,-3.632945251E-1,6.516698456E0,6.643784180E0,9.313388744E0
1.435657625E0,-3.951782227E-1,6.487658844E0,6.607858887E0,9.268747605E0
1.445616625E0,-4.342469788E-1,6.489604797E0,6.628815308E0,9.286804254E0
1.455575625E0,-4.840933228E-1,6.534810791E0,6.688690796E0,9.363582807E0
1.465534625E0,-5.542973328E-1,6.631659393E0,6.717281342E0,9.455581445E0
