"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.448750833e0,8.976084137e0,-8.800199890e-1,5.186265106e0,1.040393519e1
1.458749833e0,8.724457397e0,-9.526190186e-1,4.886438599e0,1.004494510e1
1.468748833e0,8.297694855e0,-1.029708710e0,4.559518433e0,9.523720295e0
1.478747833e0,7.924670563e0,-1.142124939e0,4.270469513e0,9.074236208e0
1.488746833e0,7.640860748e0,-1.256786499e0,3.998634796e0,8.715006914e0
1.498745833e0,7.552095337e0,-1.288370819e0,3.785478058e0,8.545401540e0
1.508744833e0,7.394772491e0,-1.334175568e0,3.571572876e0,8.319784700e0
1.518744833e0,7.267537079e0,-1.473086700e0,3.372636566e0,8.146272585e0
1.528742833e0,7.223528595e0,-1.624421997e0,3.223247223e0,8.075112064e0
1.538742833e0,7.167545013e0,-1.826202393e0,3.109034729e0,8.023391655e0
1.548741833e0,7.181765442e0,-2.112556915e0,3.061733093e0,8.087945420e0
1.558740833e0,7.277865601e0,-2.403851166e0,3.061433716e0,8.253375341e0
1.568739833e0,7.366780701e0,-2.562820587e0,3.123105469e0,8.401862592e0
1.578738833e0,7.486681366e0,-2.554138641e0,3.234773254e0,8.546214371e0
1.588737833e0,7.538024597e0,-2.411934357e0,3.282074890e0,8.568036984e0
1.598736833e0,7.540120239e0,-2.186203766e0,3.338208160e0,8.530916355e0
1.608735833e0,7.505841522e0,-1.971550140e0,3.332969055e0,8.445907271e0
1.618734833e0,7.494914246e0,-1.891167297e0,3.324436798e0,8.414400354e0
1.628733833e0,7.499554596e0,-1.892514496e0,3.296445007e0,8.407822545e0
1.638732833e0,7.516319733e0,-1.893712006e0,3.252286835e0,8.405865639e0
1.648731833e0,7.562872925e0,-1.912572784e0,3.243904266e0,8.448544042e0
1.658730833e0,7.585176544e0,-1.913021851e0,3.307222595e0,8.493072301e0
1.668729833e0,7.590116272e0,-1.846410370e0,3.426823883e0,8.530077268e0
1.678728833e0,7.575446777e0,-1.751208344e0,3.535797272e0,8.541427684e0
1.688727833e0,7.536378021e0,-1.666035461e0,3.616629181e0,8.523653822e0
1.698726833e0,7.559280396e0,-1.572330322e0,3.705095215e0,8.564033704e0
1.708725833e0,7.557633820e0,-1.467248840e0,3.716770935e0,8.548978553e0
1.718724833e0,7.493567047e0,-1.397194519e0,3.670517120e0,8.460401618e0
1.728723833e0,7.457941132e0,-1.431173859e0,3.679199066e0,8.438344050e0
1.738722833e0,7.513475647e0,-1.434317322e0,3.725602570e0,8.508213501e0
1.748721833e0,7.504644012e0,-1.388362885e0,3.783681793e0,8.518420110e0
1.758720833e0,7.436086578e0,-1.387315063e0,3.863615570e0,8.493971507e0
1.768719833e0,7.459887085e0,-1.288670197e0,3.911066895e0,8.520975909e0
1.778718833e0,7.524851990e0,-1.294957123e0,4.090393982e0,8.662080255e0
1.788717833e0,7.889194336e0,-1.310824127e0,4.515210571e0,9.183941075e0
1.798716833e0,8.458759918e0,-1.157692566e0,4.738246765e0,9.764315329e0
1.808715833e0,8.651558990e0,-1.055754547e0,4.888234863e0,9.992944046e0
1.818714833e0,8.443641357e0,-1.120569763e0,5.054389343e0,9.904423638e0
1.828713833e0,8.202941895e0,-1.199455719e0,5.066514130e0,9.715786904e0
1.838712833e0,8.034093018e0,-1.108744354e0,5.057383118e0,9.557880971e0
1.848711833e0,7.950566711e0,-8.753796387e-1,5.182073822e0,9.530566071e0
1.858710833e0,8.065677338e0,-2.995271301e-1,5.638175354e0,9.845500939e0
1.868709833e0,8.423134003e0,3.062631226e-1,6.372997284e0,1.056683860e1
1.878709833e0,9.130263519e0,2.945874023e-1,6.865323486e0,1.142721139e1
1.888708833e0,9.807904358e0,-1.453477478e-1,6.861730957e0,1.197077548e1
1.898707833e0,1.034468811e1,-3.944297791e-1,7.057224426e0,1.252886920e1
1.908706833e0,1.070169571e1,-4.403842163e-1,7.255861359e0,1.293706896e1
1.918705833e0,1.073851913e1,-5.652246094e-1,7.268884277e0,1.297967452e1
1.928704833e0,1.049647247e1,-6.897656250e-1,7.264243927e0,1.278362041e1
1.938703833e0,9.926158447e0,-4.810995483e-1,7.658673706e0,1.254652786e1
1.948702833e0,9.450447693e0,1.642085266e-1,8.365054779e0,1.262188843e1
1.958701833e0,9.188492432e0,5.408253479e-1,8.750802612e0,1.270029258e1
1.968700833e0,8.964258728e0,5.528004456e-1,8.887468414e0,1.263529254e1
1.978699833e0,8.849148102e0,3.231779480e-1,8.686436462e0,1.240427525e1
1.988698833e0,8.838819580e0,2.104623413e-1,8.568631439e0,1.231220820e1
1.998697833e0,8.811127167e0,1.716929626e-1,8.608748016e0,1.231973956e1
2.008696833e0,8.713679810e0,1.345701599e-1,8.462651825e0,1.214754300e1
2.018695833e0,8.473130035e0,2.329156494e-1,8.339607697e0,1.189105709e1
2.028694833e0,8.186625824e0,3.787124634e-1,8.284372559e0,1.165311521e1
2.038693833e0,7.975115662e0,4.662803650e-1,8.145461426e0,1.140913796e1
2.048692833e0,7.938441925e0,4.408332825e-1,7.770790558e0,1.111748083e1
2.058691833e0,7.927215271e0,4.810995483e-1,7.414082336e0,1.086465902e1
2.068690833e0,8.062384186e0,5.107379150e-1,7.282805328e0,1.087667897e1
2.078689833e0,8.377928009e0,5.468128967e-1,7.316036224e0,1.113611549e1
2.088688833e0,8.665330353e0,4.896318054e-1,7.380701752e0,1.139308772e1
2.098687833e0,8.830287323e0,3.351530457e-1,7.470814362e0,1.157148949e1
2.108686833e0,8.998986511e0,1.913021851e-1,7.362739105e0,1.162876958e1
2.118685833e0,9.062005463e0,5.882766724e-2,7.005132751e0,1.145405119e1
2.128684833e0,9.005722504e0,3.412902832e-2,6.594835968e0,1.116226071e1
2.138683833e0,9.066945190e0,7.050338745e-2,6.138884125e0,1.094990247e1
2.148682833e0,9.161698151e0,1.411564636e-1,5.808072052e0,1.084851783e1
2.158681833e0,9.311686249e0,1.652563477e-1,5.674699402e0,1.090582522e1
2.168680833e0,9.616751862e0,1.350192261e-1,5.687572632e0,1.117356832e1
2.178679833e0,9.858050079e0,8.906478882e-2,6.006259918e0,1.154401326e1
2.188678833e0,9.649384003e0,4.834945679e-2,6.552773438e0,1.166412401e1
2.198677833e0,9.247170410e0,1.661544800e-2,6.701564026e0,1.142021878e1
2.208676833e0,8.955726471e0,-4.610412598e-2,6.657256165e0,1.115913177e1
2.218675833e0,8.888366547e0,-1.601669312e-2,6.372997284e0,1.093702020e1
2.228674833e0,8.880882111e0,3.577560425e-2,5.995482330e0,1.071527673e1
2.238674833e0,8.949289856e0,-3.412902832e-2,5.495971069e0,1.050222128e1
2.248673833e0,9.143286438e0,-1.387614441e-1,5.067711639e0,1.045469478e1
2.258672833e0,9.489965515e0,-2.082170105e-1,4.689597931e0,1.058749869e1
2.268671833e0,9.909093933e0,-2.884501648e-1,4.187092896e0,1.076127748e1
2.278670833e0,1.018092865e1,-4.083508301e-1,3.751049652e0,1.085764395e1
2.288669833e0,1.023197250e1,-4.980143738e-1,3.505709839e0,1.082733952e1
2.298668833e0,1.023840912e1,-5.227130127e-1,3.335513763e0,1.078071900e1
2.308673625e0,1.024125320e1,-4.706213379e-1,3.075654144e0,1.070347607e1
2.318672625e0,1.015428406e1,-3.137475586e-1,2.909799042e0,1.056763231e1
2.328671625e0,9.940977631e0,-7.708969116e-2,2.942580872e0,1.036763046e1
2.338670625e0,9.687404938e0,3.083587646e-2,3.092119904e0,1.016897098e1
2.348669625e0,9.517208862e0,7.244934082e-2,3.257226562e0,1.005942535e1
2.358668625e0,9.367370453e0,1.136137390e-1,3.391347656e0,9.963020436e0
2.368667625e0,9.202712860e0,1.230441284e-1,3.613785095e0,9.887593568e0
