Total Sec,Difference in time(sec),Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
74.800,0,74.80,11.80,-7.16,-0.80,13.80
74.800,0,74.80,10.70,-6.50,-0.60,12.50
74.800,0,74.80,9.67,-5.92,-0.42,11.40
74.900,0.1,74.90,8.81,-5.54,-0.44,10.40
74.900,0,74.90,8.01,-5.13,-0.56,9.52
74.900,0,74.90,7.29,-4.71,-0.48,8.69
74.900,0,74.90,6.56,-4.35,-0.49,7.88
74.900,0,74.90,5.88,-4.02,-0.43,7.13
74.900,0,74.90,5.31,-3.68,-0.53,6.48
74.900,0,74.90,4.76,-3.38,-0.57,5.86
74.900,0,74.90,4.24,-3.04,-0.64,5.26
74.900,0,74.90,3.81,-2.79,-0.75,4.78
74.900,0,74.90,3.40,-2.56,-0.77,4.33
75.000,0.1,75.00,3.16,-2.46,-0.93,4.11
75.000,0,75.00,2.96,-2.38,-1.07,3.94
75.000,0,75.00,2.77,-2.23,-1.10,3.72
75.000,0,75.00,2.72,-2.24,-1.09,3.69
75.000,0,75.00,2.82,-2.50,-0.94,3.88
75.000,0,75.00,3.03,-2.91,-0.77,4.27
75.000,0,75.00,3.35,-3.45,-0.66,4.85
75.000,0,75.00,3.69,-4.11,-0.65,5.56
75.000,0,75.00,4.04,-4.74,-0.62,6.25
75.000,0,75.00,4.36,-5.22,-0.43,6.82
75.100,0.1,75.10,4.78,-5.74,-0.29,7.48
75.100,0,75.10,5.37,-6.43,-0.20,8.38
75.100,0,75.10,6.14,-7.24,-0.15,9.49
75.100,0,75.10,7.05,-8.24,-0.15,10.80
75.100,0,75.10,7.83,-9.13,-0.16,12.00
75.100,0,75.10,8.44,-9.71,-0.13,12.90
75.100,0,75.10,8.84,-9.90,-0.01,13.30
75.100,0,75.10,9.22,-10.10,0.06,13.60
75.100,0,75.10,9.40,-10.00,0.15,13.70
75.100,0,75.10,9.32,-9.72,0.22,13.50
75.200,0.1,75.20,9.38,-9.65,0.12,13.50
75.200,0,75.20,9.39,-9.96,0.10,13.70
75.200,0,75.20,9.18,-10.10,0.19,13.70
75.200,0,75.20,8.79,-9.89,0.42,13.20
75.200,0,75.20,8.41,-9.57,0.66,12.80
75.200,0,75.20,8.45,-9.70,0.73,12.90
75.200,0,75.20,8.67,-9.99,0.71,13.20
75.200,0,75.20,8.73,-9.67,0.62,13.00
75.200,0,75.20,9.01,-9.62,0.70,13.20
75.200,0,75.20,9.80,-10.10,0.56,14.10
75.300,0.1,75.30,10.60,-10.50,-0.09,14.90
75.300,0,75.30,11.10,-10.50,-0.67,15.30
75.300,0,75.30,11.20,-10.20,-1.36,15.20
75.300,0,75.30,11.10,-9.74,-1.97,14.90
75.300,0,75.30,10.70,-9.17,-2.24,14.30
75.300,0,75.30,10.10,-8.40,-2.56,13.40
75.300,0,75.30,9.38,-7.37,-2.57,12.20
75.300,0,75.30,8.57,-6.31,-2.46,10.90
75.300,0,75.30,7.70,-5.18,-2.23,9.54
75.300,0,75.30,6.89,-4.10,-1.95,8.25
75.400,0.1,75.40,6.16,-3.17,-1.69,7.13
75.400,0,75.40,5.52,-2.36,-1.55,6.20
75.400,0,75.40,5.07,-1.75,-1.63,5.61
75.400,0,75.40,4.64,-1.19,-1.65,5.06
75.400,0,75.40,4.32,-0.54,-1.74,4.69
75.400,0,75.40,4.01,0.06,-1.81,4.40
75.400,0,75.40,3.98,0.53,-1.91,4.45
75.400,0,75.40,4.14,0.73,-2.14,4.72
75.400,0,75.40,4.36,0.88,-2.42,5.07
75.400,0,75.40,4.70,0.92,-2.58,5.44
75.500,0.1,75.50,5.15,0.77,-2.59,5.81
75.500,0,75.50,5.72,0.47,-2.44,6.24
75.500,0,75.50,6.39,0.08,-2.12,6.73
75.500,0,75.50,7.05,-0.38,-1.79,7.29
75.500,0,75.50,7.67,-0.97,-1.53,7.88
75.500,0,75.50,8.23,-1.65,-1.34,8.50
75.500,0,75.50,8.82,-2.45,-1.23,9.23
75.500,0,75.50,9.32,-3.33,-1.26,9.98
75.500,0,75.50,9.83,-4.40,-1.35,10.90
75.500,0,75.50,10.30,-5.52,-1.28,11.70
75.600,0.1,75.60,10.70,-6.56,-1.20,12.60
75.600,0,75.60,11.00,-7.51,-1.09,13.40
75.600,0,75.60,11.30,-8.26,-0.94,14.00
75.600,0,75.60,11.30,-8.82,-0.76,14.40
75.600,0,75.60,11.40,-9.15,-0.58,14.60
75.600,0,75.60,11.50,-9.41,-0.48,14.80
75.600,0,75.60,11.50,-9.59,-0.47,15.00
75.600,0,75.60,11.40,-9.52,-0.56,14.90
75.600,0,75.60,11.20,-9.18,-0.65,14.50
75.600,0,75.60,11.00,-8.85,-0.87,14.10
75.700,0.1,75.70,10.70,-8.44,-1.04,13.70
75.700,0,75.70,10.50,-8.15,-1.00,13.30
75.700,0,75.70,10.30,-7.92,-0.84,13.00
75.700,0,75.70,10.40,-8.09,-0.66,13.20
75.700,0,75.70,10.60,-8.64,-0.34,13.70
75.700,0,75.70,10.70,-8.77,0.25,13.80
75.700,0,75.70,10.90,-9.10,0.86,14.30
75.700,0,75.70,11.50,-9.64,1.17,15.00
75.700,0,75.70,12.20,-9.94,1.15,15.80
75.700,0,75.70,12.70,-10.00,0.85,16.20
75.800,0.1,75.80,13.00,-9.77,0.68,16.30
75.800,0,75.80,13.20,-9.45,0.41,16.30
75.800,0,75.80,13.40,-9.28,0.09,16.30
75.800,0,75.80,13.50,-9.19,-0.21,16.40
75.800,0,75.80,13.50,-9.09,-0.56,16.30
75.800,0,75.80,13.20,-8.76,-0.93,15.90
75.800,0,75.80,12.50,-8.21,-1.26,15.00
75.800,0,75.80,11.50,-7.33,-1.39,13.70
75.800,0,75.80,10.50,-6.43,-1.58,12.40
75.800,0,75.80,9.32,-5.67,-1.50,11.00
75.900,0.1,75.90,8.24,-4.97,-1.29,9.71
75.900,0,75.90,7.28,-4.34,-1.25,8.56
75.900,0,75.90,6.38,-3.76,-1.25,7.51
75.900,0,75.90,5.54,-3.22,-1.35,6.55
75.900,0,75.90,4.78,-2.63,-1.38,5.63
75.900,0,75.90,4.03,-2.00,-1.34,4.69
75.900,0,75.90,3.47,-1.56,-1.44,4.06
75.900,0,75.90,3.00,-1.22,-1.49,3.56
75.900,0,75.90,2.62,-0.90,-1.39,3.10
75.900,0,75.90,2.40,-0.69,-1.41,2.87
75.900,0,75.90,2.22,-0.61,-1.34,2.66
76.000,0.1,76.00,2.11,-0.52,-1.23,2.50
76.000,0,76.00,2.10,-0.55,-1.07,2.42
76.000,0,76.00,2.18,-0.66,-0.82,2.41
76.000,0,76.00,2.29,-0.82,-0.61,2.51
76.000,0,76.00,2.49,-1.13,-0.38,2.77
76.000,0,76.00,2.84,-1.64,-0.28,3.29
76.000,0,76.00,3.14,-2.12,0.12,3.79
76.000,0,76.00,3.56,-2.80,0.33,4.54
76.000,0,76.00,4.00,-3.59,0.36,5.39
76.000,0,76.00,4.51,-4.40,0.33,6.31
76.100,0.1,76.10,5.16,-5.25,0.55,7.39
76.100,0,76.10,5.86,-6.27,0.64,8.61
76.100,0,76.10,6.75,-7.27,0.73,9.95
76.100,0,76.10,7.76,-8.33,0.84,11.40
76.100,0,76.10,8.76,-9.32,0.81,12.80
76.100,0,76.10,9.69,-10.10,0.79,14.00
76.100,0,76.10,10.40,-10.60,0.79,14.90
76.100,0,76.10,10.90,-10.90,0.69,15.50
76.100,0,76.10,11.20,-10.90,0.55,15.60
76.100,0,76.10,11.30,-10.80,0.40,15.60
76.200,0.1,76.20,11.10,-10.70,0.18,15.40
76.200,0,76.20,10.80,-10.50,0.11,15.10
76.200,0,76.20,10.30,-10.40,0.16,14.70
76.200,0,76.20,9.73,-10.20,0.39,14.10
76.200,0,76.20,9.24,-9.74,0.74,13.40
76.200,0,76.20,9.07,-9.46,0.84,13.10
76.200,0,76.20,9.09,-9.21,0.81,13.00
76.200,0,76.20,9.10,-8.72,0.79,12.60
76.200,0,76.20,9.41,-8.65,0.75,12.80
76.200,0,76.20,10.10,-9.05,0.42,13.60
76.300,0.1,76.30,10.70,-9.28,-0.39,14.20
76.300,0,76.30,11.10,-9.37,-1.02,14.60
76.300,0,76.30,11.20,-9.15,-1.72,14.60
76.300,0,76.30,11.10,-8.73,-2.23,14.30
76.300,0,76.30,10.80,-8.39,-2.56,14.00
76.300,0,76.30,10.50,-7.99,-2.77,13.50
76.300,0,76.30,10.00,-7.33,-2.76,12.70
76.300,0,76.30,9.53,-6.67,-2.55,11.90
76.300,0,76.30,8.95,-6.04,-2.24,11.00
76.300,0,76.30,8.23,-5.30,-1.83,9.96
76.400,0.1,76.40,7.50,-4.51,-1.47,8.87
76.400,0,76.40,6.80,-3.70,-1.32,7.85
76.400,0,76.40,6.20,-2.95,-1.46,7.02
76.400,0,76.40,5.65,-2.20,-1.61,6.27
76.400,0,76.40,5.13,-1.48,-1.75,5.62
76.400,0,76.40,4.73,-0.85,-2.01,5.21
76.400,0,76.40,4.36,-0.36,-2.29,4.94
76.400,0,76.40,4.11,0.04,-2.48,4.80
76.400,0,76.40,3.98,0.37,-2.67,4.81
76.400,0,76.40,4.00,0.53,-2.79,4.91
76.500,0.1,76.50,4.18,0.50,-2.82,5.07
76.500,0,76.50,4.41,0.38,-2.79,5.24
76.500,0,76.50,4.67,0.25,-2.69,5.39
76.500,0,76.50,4.98,0.02,-2.48,5.56
76.500,0,76.50,5.36,-0.29,-2.20,5.81
76.500,0,76.50,5.88,-0.64,-2.00,6.24
76.500,0,76.50,6.38,-1.22,-1.76,6.73
76.500,0,76.50,6.90,-2.03,-1.58,7.36
76.500,0,76.50,7.51,-2.94,-1.37,8.19
76.500,0,76.50,8.13,-3.89,-1.22,9.10
76.600,0.1,76.60,8.82,-4.90,-0.99,10.10
76.600,0,76.60,9.52,-5.94,-0.78,11.30
76.600,0,76.60,10.20,-6.88,-0.59,12.30
76.600,0,76.60,10.70,-7.57,-0.45,13.10
76.600,0,76.60,11.10,-8.10,-0.32,13.70
76.600,0,76.60,11.50,-8.50,-0.13,14.30
76.600,0,76.60,12.00,-8.89,-0.06,14.90
76.600,0,76.60,12.30,-9.26,-0.04,15.40
76.600,0,76.60,12.50,-9.38,-0.13,15.60
76.600,0,76.60,12.40,-9.09,-0.17,15.40
76.700,0.1,76.70,12.10,-8.63,-0.13,14.90
76.700,0,76.70,11.90,-8.39,-0.04,14.50
76.700,0,76.70,11.60,-8.15,0.02,14.10
76.700,0,76.70,11.10,-7.73,0.08,13.50
76.700,0,76.70,10.70,-7.51,0.26,13.10
76.700,0,76.70,10.80,-7.73,0.49,13.30
76.700,0,76.70,10.90,-8.12,0.69,13.60
76.700,0,76.70,11.00,-8.34,1.01,13.90
76.700,0,76.70,11.40,-8.67,1.53,14.40
76.700,0,76.70,12.00,-9.18,1.56,15.20
76.800,0.1,76.80,12.50,-9.25,1.00,15.60
76.800,0,76.80,12.90,-9.04,0.43,15.80
76.800,0,76.80,13.30,-8.83,-0.08,16.00
76.800,0,76.80,13.50,-8.67,-0.33,16.10
76.800,0,76.80,13.70,-8.57,-0.77,16.20
76.800,0,76.80,13.60,-8.65,-1.09,16.20
76.800,0,76.80,13.20,-8.47,-1.20,15.80
76.800,0,76.80,12.40,-7.97,-1.29,14.80
76.800,0,76.80,11.40,-7.34,-1.28,13.60
76.800,0,76.80,10.40,-6.75,-1.30,12.50
76.900,0.1,76.90,9.36,-6.10,-1.13,11.20
76.900,0,76.90,8.39,-5.53,-0.97,10.10
76.900,0,76.90,7.57,-5.09,-0.91,9.17
76.900,0,76.90,6.79,-4.61,-1.03,8.27
76.900,0,76.90,6.02,-4.07,-1.18,7.36
76.900,0,76.90,5.24,-3.48,-1.29,6.42
76.900,0,76.90,4.57,-2.97,-1.35,5.62
76.900,0,76.90,4.01,-2.60,-1.44,4.99
76.900,0,76.90,3.50,-2.19,-1.53,4.40
76.900,0,76.90,3.11,-1.81,-1.78,4.01
77.000,0.1,77.00,2.86,-1.53,-1.91,3.77
77.000,0,77.00,2.68,-1.32,-1.95,3.57
77.000,0,77.00,2.58,-1.16,-1.94,3.43
77.000,0,77.00,2.54,-1.12,-1.81,3.31
77.000,0,77.00,2.56,-1.18,-1.61,3.25
77.000,0,77.00,2.64,-1.33,-1.38,3.27
77.000,0,77.00,2.74,-1.54,-1.14,3.34
77.000,0,77.00,2.89,-1.89,-0.90,3.57
77.000,0,77.00,3.11,-2.39,-0.72,3.99
77.000,0,77.00,3.40,-3.02,-0.46,4.57
77.100,0.1,77.10,3.68,-3.54,-0.23,5.11
77.100,0,77.10,4.15,-4.41,-0.18,6.06
77.100,0,77.10,4.85,-5.45,0.29,7.30
77.100,0,77.10,5.75,-6.71,0.59,8.86
77.100,0,77.10,6.71,-8.02,0.90,10.50
77.100,0,77.10,7.58,-9.10,1.38,11.90
77.100,0,77.10,8.55,-10.00,1.93,13.30
77.100,0,77.10,9.52,-11.00,2.45,14.80
77.100,0,77.10,10.30,-11.70,2.87,15.90
77.100,0,77.10,11.00,-11.90,3.05,16.60
77.200,0.1,77.20,11.40,-11.90,2.84,16.70
77.200,0,77.20,11.80,-11.90,2.23,16.90
77.200,0,77.20,11.90,-11.90,1.52,16.90
77.200,0,77.20,11.50,-11.50,0.91,16.30
77.200,0,77.20,10.70,-10.80,0.51,15.20
77.200,0,77.20,9.70,-9.85,0.32,13.80
77.200,0,77.20,8.89,-9.13,0.17,12.70
77.200,0,77.20,8.56,-9.04,0.12,12.50
77.200,0,77.20,8.29,-8.73,0.08,12.00
77.200,0,77.20,8.15,-8.15,-0.05,11.50
77.300,0.1,77.30,8.45,-8.19,-0.24,11.80
77.300,0,77.30,8.88,-8.53,-0.66,12.30
77.300,0,77.30,9.10,-8.58,-1.13,12.60
77.300,0,77.30,9.14,-8.54,-1.47,12.60
77.300,0,77.30,9.11,-8.59,-1.84,12.70
77.300,0,77.30,9.09,-8.58,-2.19,12.70
77.300,0,77.30,9.01,-8.57,-2.33,12.70
77.300,0,77.30,8.94,-8.32,-2.21,12.40
77.300,0,77.30,8.84,-7.97,-2.18,12.10
77.300,0,77.30,8.66,-7.37,-2.01,11.50
77.400,0.1,77.40,8.36,-6.66,-1.80,10.80
77.400,0,77.40,8.12,-5.90,-1.70,10.20
77.400,0,77.40,7.87,-5.18,-1.80,9.59
77.400,0,77.40,7.57,-4.54,-2.00,9.05
77.400,0,77.40,7.18,-3.81,-2.15,8.41
77.400,0,77.40,6.84,-3.19,-2.42,7.93
77.400,0,77.40,6.50,-2.58,-2.62,7.47
77.400,0,77.40,6.10,-1.97,-2.82,7.01
77.400,0,77.40,5.82,-1.43,-3.04,6.72
77.400,0,77.40,5.67,-0.99,-3.17,6.57
77.400,0,77.40,5.58,-0.61,-3.21,6.46
77.500,0.1,77.50,5.56,-0.34,-3.24,6.44
77.500,0,77.50,5.58,-0.17,-3.12,6.40
77.500,0,77.50,5.65,-0.07,-2.92,6.36
77.500,0,77.50,5.71,-0.06,-2.65,6.29
77.500,0,77.50,5.86,-0.17,-2.32,6.30
77.500,0,77.50,6.07,-0.41,-2.04,6.41
77.500,0,77.50,6.26,-0.72,-1.76,6.54
77.500,0,77.50,6.52,-1.18,-1.46,6.79
77.500,0,77.50,6.94,-1.85,-1.12,7.27
77.500,0,77.50,7.41,-2.67,-0.83,7.92
77.600,0.1,77.60,7.97,-3.52,-0.50,8.72
77.600,0,77.60,8.49,-4.33,-0.23,9.54
77.600,0,77.60,9.10,-5.11,-0.02,10.40
77.600,0,77.60,9.89,-6.07,0.01,11.60
77.600,0,77.60,10.70,-7.00,0.01,12.80
77.600,0,77.60,11.60,-7.83,-0.16,14.00
77.600,0,77.60,12.40,-8.44,-0.36,15.00
77.600,0,77.60,13.20,-8.85,-0.59,15.90
77.600,0,77.60,13.80,-9.01,-0.81,16.50
77.600,0,77.60,14.30,-8.84,-1.00,16.80
77.700,0.1,77.70,14.40,-8.29,-1.11,16.70
77.700,0,77.70,14.40,-7.59,-1.24,16.30
77.700,0,77.70,14.30,-7.23,-1.21,16.00
77.700,0,77.70,14.00,-7.04,-1.04,15.70
77.700,0,77.70,13.40,-6.64,-0.77,15.00
77.700,0,77.70,12.60,-6.18,-0.45,14.10
77.700,0,77.70,12.00,-6.01,-0.20,13.50
77.700,0,77.70,11.80,-6.27,-0.06,13.40
77.700,0,77.70,11.80,-6.47,-0.12,13.50
77.700,0,77.70,12.10,-6.61,-0.28,13.80
77.800,0.1,77.80,12.80,-7.13,-0.54,14.70
77.800,0,77.80,13.80,-7.62,-0.67,15.80
77.800,0,77.80,14.40,-7.75,-1.25,16.40
77.800,0,77.80,15.00,-7.95,-1.72,17.10
77.800,0,77.80,15.40,-8.31,-1.87,17.60
77.800,0,77.80,15.50,-8.69,-1.80,17.90
77.800,0,77.80,15.50,-9.10,-1.96,18.00
77.800,0,77.80,15.10,-9.39,-2.10,17.90
77.800,0,77.80,14.50,-9.33,-1.70,17.40
77.800,0,77.80,14.00,-9.12,-1.67,16.80
77.900,0.1,77.90,13.60,-8.58,-1.80,16.20
77.900,0,77.90,13.20,-7.98,-0.96,15.40
77.900,0,77.90,12.80,-7.54,-0.55,14.90
77.900,0,77.90,12.50,-7.20,-0.40,14.40
77.900,0,77.90,12.30,-6.98,-0.04,14.10
77.900,0,77.90,11.80,-6.77,0.25,13.60
77.900,0,77.90,11.20,-6.35,0.42,12.90
77.900,0,77.90,10.60,-5.87,0.45,12.10
77.900,0,77.90,9.86,-5.37,0.47,11.20
77.900,0,77.90,9.18,-4.83,0.55,10.40
78.000,0.1,78.00,8.84,-4.34,1.19,9.92
78.000,0,78.00,8.85,-4.02,2.12,9.95
78.000,0,78.00,9.10,-3.85,2.89,10.30
78.000,0,78.00,9.21,-3.96,3.30,10.60
78.000,0,78.00,9.01,-3.62,3.47,10.30
78.000,0,78.00,8.52,-2.97,3.89,9.82
78.000,0,78.00,7.88,-3.19,4.11,9.45
78.000,0,78.00,7.20,-3.70,4.96,9.50
78.000,0,78.00,6.75,-3.26,5.62,9.37
78.000,0,78.00,6.36,-3.60,5.65,9.23
78.100,0.1,78.10,6.04,-3.79,6.32,9.53
78.100,0,78.10,5.85,-3.85,6.33,9.44
78.100,0,78.10,5.50,-3.63,7.16,9.73
78.100,0,78.10,5.32,-3.65,7.43,9.83
78.100,0,78.10,5.43,-3.57,8.13,10.40
78.100,0,78.10,5.56,-3.55,8.59,10.80
78.100,0,78.10,5.92,-4.03,8.38,11.00
78.100,0,78.10,6.36,-4.45,8.17,11.30
78.100,0,78.10,6.52,-4.82,7.84,11.30
78.100,0,78.10,6.48,-4.67,7.84,11.20
78.200,0.1,78.20,6.41,-4.42,7.93,11.10
78.200,0,78.20,6.42,-4.29,8.02,11.10
78.200,0,78.20,6.33,-3.95,8.00,10.90
78.200,0,78.20,6.21,-3.37,7.64,10.40
78.200,0,78.20,5.94,-2.93,7.00,9.64
78.200,0,78.20,5.30,-2.29,6.61,8.77
78.200,0,78.20,4.55,-1.28,6.37,7.93
78.200,0,78.20,3.92,-0.19,6.41,7.51
78.200,0,78.20,3.44,0.82,6.52,7.42
78.200,0,78.20,3.19,1.54,6.85,7.71
78.300,0.1,78.30,3.16,2.08,7.07,8.02
78.300,0,78.30,3.40,2.22,7.10,8.18
78.300,0,78.30,3.78,2.32,7.27,8.52
78.300,0,78.30,4.40,2.31,7.25,8.79
78.300,0,78.30,4.79,2.31,7.10,8.87
78.300,0,78.30,4.80,2.54,6.87,8.75
78.300,0,78.30,4.63,2.93,6.54,8.53
78.300,0,78.30,4.24,3.25,6.31,8.27
78.300,0,78.30,3.67,3.58,6.17,8.03
78.300,0,78.30,3.04,3.93,6.11,7.88
78.400,0.1,78.40,2.48,3.98,6.17,7.75
78.400,0,78.40,1.94,4.02,6.18,7.62
78.400,0,78.40,1.58,4.06,6.14,7.53
78.400,0,78.40,1.44,4.04,6.00,7.37
78.400,0,78.40,1.44,4.04,5.90,7.29
78.400,0,78.40,1.45,4.07,5.74,7.19
78.400,0,78.40,1.43,4.12,5.52,7.04
78.400,0,78.40,1.34,4.14,5.34,6.89
78.400,0,78.40,1.11,4.18,5.28,6.83
78.400,0,78.40,0.87,4.21,5.35,6.87
78.500,0.1,78.50,0.72,4.28,5.35,6.89
78.500,0,78.50,0.74,4.37,5.20,6.84
78.500,0,78.50,0.78,4.42,5.05,6.76
78.500,0,78.50,0.72,4.56,4.82,6.68
78.500,0,78.50,0.64,4.70,4.62,6.62
78.500,0,78.50,0.60,4.78,4.56,6.63
78.500,0,78.50,0.50,4.76,4.39,6.49
78.500,0,78.50,0.47,4.70,4.39,6.44
78.500,0,78.50,0.41,4.62,4.57,6.50
78.500,0,78.50,0.30,4.61,4.80,6.67
78.600,0.1,78.60,0.36,4.64,4.75,6.65
78.600,0,78.60,0.47,4.63,4.95,6.80
78.600,0,78.60,0.67,4.97,5.47,7.42
78.600,0,78.60,0.47,5.18,5.83,7.82
78.600,0,78.60,0.47,5.26,6.16,8.12
78.600,0,78.60,0.47,5.52,6.30,8.38
78.600,0,78.60,0.44,5.70,6.34,8.54
78.600,0,78.60,0.42,5.86,6.46,8.73
78.600,0,78.60,0.57,6.18,6.94,9.31
78.600,0,78.60,0.61,6.37,7.40,9.78
78.700,0.1,78.70,0.52,6.36,7.56,9.89
78.700,0,78.70,0.48,6.31,7.93,10.10
78.700,0,78.70,0.39,6.51,8.74,10.90
78.700,0,78.70,0.24,6.49,9.67,11.60
78.700,0,78.70,0.23,6.05,10.70,12.30
78.700,0,78.70,0.28,5.78,11.70,13.10
78.700,0,78.70,0.41,5.75,12.20,13.50
78.700,0,78.70,0.62,5.85,11.90,13.30
78.700,0,78.70,0.68,5.86,11.90,13.30
78.700,0,78.70,0.78,5.75,11.70,13.10
78.800,0.1,78.80,0.75,5.68,11.30,12.70
78.800,0,78.80,0.56,5.72,11.00,12.50
78.800,0,78.80,-0.41,5.81,10.50,12.00
78.800,0,78.80,-0.61,5.72,10.50,12.00
78.800,0,78.80,-0.01,4.72,11.40,12.40
78.800,0,78.80,0.15,4.23,12.30,13.00
78.800,0,78.80,0.15,3.87,12.50,13.10
78.800,0,78.80,0.47,3.58,12.90,13.40
78.800,0,78.80,0.98,3.10,13.60,14.00
78.800,0,78.80,0.91,2.06,14.40,14.60
78.900,0.1,78.90,0.50,1.36,13.80,13.90
78.900,0,78.90,0.03,1.42,12.70,12.80
78.900,0,78.90,-0.43,1.71,11.70,11.80
78.900,0,78.90,-0.64,1.91,10.90,11.10
78.900,0,78.90,-0.53,1.90,9.97,10.20
78.900,0,78.90,-0.39,1.74,9.30,9.47
78.900,0,78.90,-0.37,1.78,8.66,8.85
78.900,0,78.90,-0.15,1.74,8.11,8.29
78.900,0,78.90,0.07,1.57,7.90,8.05
78.900,0,78.90,-0.19,1.83,7.27,7.49
78.900,0,78.90,-0.21,2.17,6.55,6.90
79.000,0.1,79.00,-0.13,2.07,6.17,6.51
79.000,0,79.00,-0.12,2.11,6.06,6.42
79.000,0,79.00,0.00,2.07,5.61,5.98
79.000,0,79.00,-0.05,1.99,5.44,5.79
79.000,0,79.00,-0.02,1.92,5.10,5.45
79.000,0,79.00,0.00,1.82,4.56,4.91
79.000,0,79.00,-0.01,1.91,4.47,4.86
79.000,0,79.00,0.12,2.07,4.33,4.80
79.000,0,79.00,0.01,2.18,4.58,5.08
79.000,0,79.00,-0.05,2.25,4.83,5.33
79.100,0.1,79.10,-0.04,2.34,5.03,5.54
79.100,0,79.10,0.05,2.47,5.22,5.78
79.100,0,79.10,0.19,2.58,5.33,5.92
79.100,0,79.10,0.12,2.86,5.48,6.18
79.100,0,79.10,0.02,3.37,5.70,6.62
79.100,0,79.10,0.13,3.67,5.99,7.03
79.100,0,79.10,0.41,3.59,6.40,7.35
79.100,0,79.10,0.82,3.37,6.92,7.74
79.100,0,79.10,1.22,3.13,7.54,8.26
79.100,0,79.10,1.37,2.95,8.17,8.80
79.200,0.1,79.20,1.48,2.77,8.75,9.30
79.200,0,79.20,1.78,2.61,9.28,9.81
79.200,0,79.20,2.35,2.44,9.88,10.40
79.200,0,79.20,3.01,2.26,10.70,11.30
79.200,0,79.20,3.67,1.94,11.60,12.30
79.200,0,79.20,4.18,1.63,12.30,13.10
79.200,0,79.20,4.27,1.71,12.60,13.40
79.200,0,79.20,4.23,1.78,13.10,13.80
79.200,0,79.20,4.26,2.07,13.50,14.40
79.200,0,79.20,4.53,2.41,13.50,14.50
79.300,0.1,79.30,5.04,2.87,13.40,14.60
79.300,0,79.30,5.29,3.00,13.30,14.60
79.300,0,79.30,5.73,2.63,13.40,14.80
79.300,0,79.30,5.99,2.44,13.90,15.40
79.300,0,79.30,6.15,2.54,13.80,15.30
79.300,0,79.30,6.19,2.38,13.10,14.70
79.300,0,79.30,5.81,2.23,12.70,14.10
79.300,0,79.30,5.42,2.20,12.40,13.70
79.300,0,79.30,5.22,1.99,12.10,13.30
79.300,0,79.30,5.12,1.87,11.60,12.80
79.400,0.1,79.40,5.05,1.79,11.20,12.40
79.400,0,79.40,5.02,1.61,10.80,12.00
79.400,0,79.40,4.98,1.34,10.40,11.60
79.400,0,79.40,4.82,1.00,10.20,11.30
79.400,0,79.40,4.69,0.98,10.30,11.30
79.400,0,79.40,4.40,0.85,10.30,11.20
79.400,0,79.40,4.06,0.79,10.40,11.20
79.400,0,79.40,3.81,0.79,10.10,10.90
79.400,0,79.40,3.65,0.75,9.63,10.30
79.400,0,79.40,3.47,0.84,8.97,9.66
79.500,0.1,79.50,3.16,1.10,8.30,8.95
79.500,0,79.50,2.70,1.37,7.67,8.24
79.500,0,79.50,2.19,1.58,7.17,7.66
79.500,0,79.50,1.76,1.76,6.73,7.17
79.500,0,79.50,1.44,1.88,6.25,6.68
79.500,0,79.50,1.09,1.99,5.89,6.31
79.500,0,79.50,0.80,2.13,5.51,5.96
79.500,0,79.50,0.59,2.26,5.17,5.67
79.500,0,79.50,0.46,2.31,4.81,5.36
79.500,0,79.50,0.43,2.36,4.42,5.03
79.600,0.1,79.60,0.51,2.39,4.17,4.83
79.600,0,79.60,0.68,2.36,4.07,4.75
79.600,0,79.60,0.88,2.29,3.97,4.67
79.600,0,79.60,1.13,2.24,3.90,4.63
79.600,0,79.60,1.34,2.22,3.96,4.73
79.600,0,79.60,1.46,2.14,4.20,4.94
79.600,0,79.60,1.56,2.15,4.47,5.20
79.600,0,79.60,1.73,2.26,4.81,5.59
79.600,0,79.60,1.94,2.30,5.56,6.32
79.600,0,79.60,1.93,2.24,6.73,7.35
79.700,0.1,79.70,1.60,2.28,7.93,8.41
79.700,0,79.70,1.38,2.41,8.70,9.13
79.700,0,79.70,1.58,2.54,9.24,9.72
79.700,0,79.70,1.98,2.74,9.85,10.40
79.700,0,79.70,2.29,2.81,10.40,11.00
79.700,0,79.70,2.67,2.83,10.60,11.30
79.700,0,79.70,3.27,2.84,11.10,11.90
79.700,0,79.70,3.90,2.82,12.20,13.10
79.700,0,79.70,4.32,2.88,13.40,14.30
79.700,0,79.70,4.35,2.98,14.50,15.40
79.800,0.1,79.80,4.26,3.02,15.50,16.40
79.800,0,79.80,4.37,2.92,16.30,17.20
79.800,0,79.80,4.41,2.59,17.10,17.90
79.800,0,79.80,4.38,2.31,17.90,18.60
79.800,0,79.80,4.78,1.53,18.60,19.30
79.800,0,79.80,5.24,0.55,19.30,20.00
79.800,0,79.80,6.16,0.05,19.90,20.90
79.800,0,79.80,7.31,-0.87,20.00,21.30
79.800,0,79.80,8.19,-1.77,19.70,21.40
79.800,0,79.80,8.48,-1.77,18.90,20.80
79.900,0.1,79.90,8.09,-1.18,17.60,19.40
79.900,0,79.90,7.78,-0.65,16.20,18.00
79.900,0,79.90,7.81,-0.37,14.90,16.80
